X1,X2,X3,X4,X5,X6,class
0.358643664289,1.07375825474,-0.204879144018,-0.833058888947,-0.37786573,-0.933935751579,0
1.2837509,-0.21805001,-0.41130523,1.4940528,2.5565707,0.8429279,1
1.75960916364,3.07914224545,-0.239175642245,1.82385981818,-0.225888425818,0.661209587273,0
2.302271675,1.711193525,-0.3211421125,1.2539137325,0.82433246625,0.54850129875,0
0.81354384,-0.34633447,-0.095734317,4.0037775,1.6538242,0.93738818,1
-0.0016962528,-0.34191087,-0.41130523,1.575488,4.2351366,1.2573343,1
0.25535929792,0.38886822104,0.7626185764,0.1755612274,-0.3470120684,0.915327134,0
0.02150921,-0.26670963,-0.45638679,1.4054445,4.6050526,1.6107986,1
-0.121545730435,-0.15246529513,2.32102926957,0.24852824,-0.28873688087,0.923212518261,0
0.19343289,-0.4038413,-0.41130523,1.5505933,4.2067221,1.3975012,1
-0.085209100179,-0.290117860421,0.59551625875,0.456087382208,0.272058194292,1.32995699583,0
0.72427903,-0.23574442,-0.50146835,1.0818132,5.3196638,1.2908525,1
0.752992826,0.9565048572,-0.277863815308,0.8519041904,1.406333808,0.9239809168,0
-0.45377932,-0.44807732,1.9780174,1.1244296,0.035347073,1.1933451,1
2.2439828,3.6260603,-0.050652758,6.3696193,-0.37786573,1.0806022,0
1.44911507742,-0.439515514677,-0.409850987318,-0.85955255,-0.37786573,-0.94572324,0
-0.169564710682,-0.349717227294,0.959704544706,1.95431957059,-0.37786573,0.70742131,0
0.625994578333,4.77103605,-0.2009246215,0.645909579167,-0.37786573,0.411508496333,0
0.29099747,-0.23574442,-0.50146835,1.4750653,6.3472961,1.5407151,1
0.597980951818,1.23490225682,0.719832070909,1.12310621045,-0.238766716955,1.14722297909,0
-0.217335681781,-0.380552336559,0.00901401240882,1.41303948529,-0.37786573,0.590555839118,0
0.826429973077,2.16831326154,0.230240036308,1.30051020077,-0.37786573,0.973250289231,0
1.297979,-0.16054318,-0.54654991,1.3252751,13.750423,0.90996423,1
-0.312492775,-0.30154549975,5.663434875,1.0615598775,-0.2200834675,0.578972355,0
-0.23036322,-0.3949941,-0.36622367,1.6425772,6.6687789,1.104979,1
0.4554683,-0.11630716,-0.45638679,1.5535469,4.0606653,1.4675846,1
-0.144447254419,-0.346703106125,0.440548398958,1.21794299146,-0.37786573,0.833024807083,0
0.12347774,-0.32421646,-0.36622367,0.7303336,3.6115969,1.220769,1
-0.029305672,-0.35518168,-0.36622367,-0.85955255,-0.37786573,-0.94572324,1
0.71970569,-0.35960528,-0.27606055,1.3725328,1.4924902,1.4523491,1
